CCN,Penalty,SCR
050393,Y,7.325
050394,N,2.75
050396,N,5.75
050397,N,7
050407,N,6
050411,N,3.4
050414,N,6.075
050417,N,2.75
050423,N,4
050424,Y,9.675
050425,N,4.6
050426,N,1
050434,N,6
050435,N,6
050438,N,6.75
050441,N,6.4
050444,N,6.375
050454,N,4.575
050455,N,7
050457,N,3.3
050464,N,5.05
050468,N,5.275
050471,Y,7.025
050481,N,6.25
050485,Y,8.375
050488,N,6.7
050492,Y,8.375
050496,Y,7.975
050498,N,5.125
050502,N,4.975
050503,Y,8.975
050506,N,3.65
050510,N,6.7
050512,Y,7.075
050515,N,3.025
050516,N,6.075
050517,Y,7.2
050523,N,5.4
050526,N,3.925
050528,N,5
050534,N,2
050537,Y,9
050541,Y,8.65
050543,N,7
050545,Y,8.95
050546,Y,8.95
050547,N,7
050548,Y,8.95
050549,Y,7.375
050551,N,4.75
050552,Y,8
050557,N,5.775
050561,N,5.575
050567,N,6.75
050568,Y,8.6
050570,N,4.975
050573,N,4
050575,N,2.3
050580,N,3.6
050581,N,3.675
050586,N,1
050588,N,2.05
050589,N,6
050590,N,4.1
050597,N,4.975
050599,Y,7.4
050603,Y,7.675
050604,N,6.075
050608,N,4.15
050609,N,5.275
050616,N,3.45
050618,N,6
050624,N,6.1
050625,N,6.4
050633,Y,8.675
050636,Y,7.7
050641,N,6.95
050663,N,1.975
050668,N,7
050674,N,5.375
050677,N,6.025
050678,N,6.05
050684,N,6.525
050686,N,3.325
050688,N,4.4
050689,N,3.45
050690,N,4
050696,Y,8.7
050697,N,5
050701,N,3.4
050704,Y,8.25
050708,Y,8
050709,N,1
050710,N,1.7
050714,Y,10
050717,Y,8.3
050723,N,7
050724,N,4.95
050726,Y,8
050727,N,2.35
050732,N,3.3
050735,N,6.35
050736,N,2.05
050737,Y,7.225
050738,N,1.7
050739,N,3.6
050740,N,2.4
050742,Y,7.4
050744,N,6.9
050745,Y,8
050746,Y,9
050747,Y,8.675
050748,N,3.375
050751,N,6
050754,N,6
050755,N,5.875
050757,N,3.275
050758,N,4
050760,Y,9.65
050761,N,6.375
050763,N,4.325
050764,N,2.3
050765,N,3.1
050766,N,4
050767,N,6.725
050769,N,5
050770,N,6.525
050771,N,3.65
050772,N,3.05
050773,N,3
060001,N,2.05
060003,N,3.65
060004,N,4.15
060006,Y,9
060008,N,3
060009,Y,7.025
060010,N,2.35
060011,N,6.075
060012,Y,8.025
060013,N,6.575
060014,Y,7.675
060015,Y,7.725
060016,N,2
060020,Y,7.075
060022,Y,7.375
060023,N,6.75
060024,Y,7.725
060027,N,3.8
060028,N,4.025
060030,N,3.8
060031,N,5.9
060032,Y,7.075
060034,Y,8.05
060036,N,5
060043,N,7
060044,N,2
060049,N,2
060054,Y,8
060064,N,6.075
060065,N,6.7
060071,N,2.05
060075,N,5
060076,Y,8
060096,Y,8
060100,Y,8.025
060103,N,3.45
060104,N,6.4
060107,N,7
060112,N,6.725
060113,Y,7.025
060114,N,4.1
060116,N,5.6
060117,N,4
060118,N,4
060119,N,4.025
060124,Y,8
070002,N,6.675
070003,N,2
070004,N,5
070005,Y,9.675
070006,Y,8.7
070007,N,4.625
070008,Y,7.95
070010,Y,8.375
070011,N,6.525
070012,N,6.075
070015,N,1
070016,N,6.05
070017,N,3.1
070018,N,6.65
070019,N,6.075
070020,N,5.325
070021,Y,7.9
070022,Y,8.025
070024,N,5.575
070025,Y,9.025
070027,N,6.725
070028,N,5.65
070029,N,3.4
070031,N,4.275
070033,Y,10
070034,Y,7.025
070035,Y,7.075
070036,Y,8.375
070038,Y,8.95
070039,N,6
070040,N,7
080001,N,6.625
080003,N,5.25
080004,N,6.9
080006,N,5.725
080007,N,3.7
080009,N,2.625
090001,Y,8.975
090003,N,5.925
090004,Y,7.725
090005,N,6.65
090006,Y,7.3
090008,N,5.725
090011,Y,8.375
100001,Y,8.7
100002,N,3.975
100006,N,6.05
100007,N,6.375
100008,Y,7.025
100009,N,4.475
100012,Y,8.05
100014,N,3.725
100017,N,6.55
100018,N,3
100019,N,5.4
100022,Y,7.4
100023,N,7
100025,N,6.925
100026,N,3.6
100028,N,1
100029,Y,7.2
100030,N,2.95
100032,N,6.425
100034,N,6.4
100035,Y,7.575
100038,N,5.75
100039,Y,7.7
100040,N,4.25
100043,N,5.325
100044,N,4.75
100045,N,4.7
100046,N,3.1
100047,N,3.625
100048,N,6
100049,Y,7.025
100050,N,4.25
100051,Y,8.375
100052,N,5.35
100053,N,4.575
100054,N,3.95
100055,N,2.05
100057,N,6.725
100062,N,3.6
100063,Y,8
100067,Y,7.375
100068,N,6.225
100069,Y,7.025
100070,Y,10
100071,N,6.6
100072,N,3.375
100073,N,3.625
100075,Y,7.05
100076,N,6.2
100077,N,6.075
100080,N,5.025
100081,N,5
100084,N,6.6
100086,N,3.725
100087,Y,7.55
100088,N,5.325
100090,N,5.075
100092,N,6.9
100093,N,5.575
100099,N,4.05
100102,N,3.1
100105,N,6
100106,N,3
100107,Y,8.25
100109,N,3.65
100110,N,3.95
100113,N,4
100117,N,4.35
100118,N,5.075
100121,Y,7.625
100122,N,4.65
100124,N,3.4
100125,N,1.7
100126,Y,7.025
100127,N,6.4
100128,Y,7.725
100130,N,3.1
100131,N,3.975
100132,N,4.575
100134,Y,8.95
100135,N,2.95
100137,Y,8.05
100140,N,1
100142,N,2
100150,N,5.1
100151,N,5.275
100154,N,5.975
100156,N,2.4
100157,N,5.875
100161,Y,7.225
100166,N,6.275
100167,N,5.975
100168,N,4.65
100173,N,5.275
100175,N,2.4
100176,N,4.775
100177,N,4.1
100179,Y,7.675
100180,Y,7.55
100181,N,1.35
100183,N,4.25
100187,Y,7.625
100189,N,6.875
100191,Y,7.025
100200,N,6.575
100204,N,6.2
100206,N,3.725
100209,Y,8.3
100211,N,3.65
100212,N,3.625
100213,N,4.35
100217,N,5.6
100220,Y,9.35
100223,N,4.675
100224,N,6
100226,N,5.875
100228,N,6.275
100230,N,5.6
100231,N,5.575
100232,N,6.2
100234,N,4.6
100236,N,5.675
100238,N,6.925
100239,N,3.65
100240,N,6
100242,N,3.375
100243,N,6.25
100244,Y,7.725
100246,N,3
100248,N,3.8
100249,N,4.025
100252,N,1
100253,N,6.425
100254,N,6.975
100255,N,6.4
100256,N,4.575
100258,N,1.975
100259,Y,7.075
100260,N,2.4
100264,N,3.325
100265,N,5.675
100266,N,3.6
100267,N,1
100268,N,4.925
100269,N,4
100275,N,5.225
100276,Y,8.975
100277,N,7
100281,N,6.025
100284,N,1.35
100285,N,5.025
100286,N,4.625
100287,N,4.65
100288,N,4.675
100289,N,1.7
100290,N,5.6
100291,N,6.325
100292,N,1
100296,N,6.4
100298,Y,10
100299,N,1.35
100302,N,6.725
100307,N,5
100313,N,5
100314,N,4.45
100315,N,3.45
100316,N,4.75
100319,N,3.45
110001,N,6.675
110002,N,2
110003,Y,7.65
110004,Y,10
110005,N,5.4
110006,N,2
110007,N,5.875
110008,N,4.45
110010,Y,7.675
110011,N,1.65
110015,N,6
110016,N,1.65
110018,N,3.65
110023,N,1
110024,Y,8.675
110025,N,5.575
110026,N,7
110027,N,2
110028,N,5.25
110029,N,3.95
110030,Y,7.05
110031,N,5.55
110032,N,6.75
110034,Y,7.4
110035,Y,8.675
110036,Y,7.725
110038,N,4.625
110039,N,6.625
110040,N,6
110041,N,7
110042,N,7
110043,N,5.675
110044,N,4
110045,N,3
110046,N,3.8
110050,N,5
110051,Y,9
110054,N,3.6
110064,N,4.9
110069,N,2.65
110071,N,4
110073,N,5
110074,Y,7.7
110075,N,3.4
110076,N,4.925
110078,Y,8.7
110079,Y,9.025
110082,Y,7.4
110083,Y,9.35
110086,N,4
110087,N,5.9
110089,N,4.65
110091,N,4.275
110092,N,3
110095,N,4.425
110100,N,6
110101,N,6
110104,Y,8.05
110105,N,5.675
110107,N,5.325
110109,N,6
110111,N,2
110113,N,6
110115,Y,7.05
110121,N,3
110122,N,6.325
110124,N,1.7
110125,N,6.2
110128,Y,8.3
110129,N,1.975
110130,Y,9
110132,N,2
110135,Y,8
110142,N,5
110143,Y,9
110146,N,4
110150,N,4.95
110153,N,5
110161,N,6.75
110164,N,6.725
110165,Y,7.375
110168,N,5.875
110177,Y,7.725
110183,N,2
110184,N,4.75
110186,Y,9
110187,N,2
110189,N,6
110190,N,6
110191,Y,7.925
110192,N,5.3
110194,N,4
110198,N,4
110200,N,3
110201,N,6.35
110203,N,6
110205,N,3
110209,N,5
110215,N,5.675
110225,N,4
110226,Y,7.725
110229,N,4.7
110230,N,5.25
110233,N,6
120001,N,4.325
120002,Y,7.05
120004,N,4.625
120005,N,1.35
120006,N,3.8
120007,N,6.75
120011,N,3.05
120014,N,2
120019,Y,8.25
120022,N,2.95
120026,N,4.65
120028,N,3
130002,N,3.625
130003,N,6.05
130006,N,5.725
130007,Y,7.4
130013,N,3.45
130014,N,3.45
130018,N,4.275
130025,Y,9
130028,Y,9.65
130049,N,5.325
130063,N,5
130065,N,3
130066,N,3
130067,N,7
140001,N,1
140002,N,2.7
140007,N,4.575
140008,N,5.275
140010,Y,8.05
140011,N,2.325
140012,N,5
140013,N,3.1
140015,N,6.1
140018,N,5.375
140019,N,6
140026,N,1.975
140029,N,5.45
140030,N,3.6
140032,Y,7.05
140034,N,3.8
140040,N,4
140043,N,1
140046,N,5.55
140048,N,4.625
140049,N,3.3
140052,N,3.45
140053,Y,7.7
140054,Y,7.625
140058,N,1
140059,N,6
140062,N,5.375
140063,N,6.525
140064,N,2.4
140065,N,5.075
140067,N,6.75
140068,N,3.95
140077,N,5
140080,N,5.625
140082,N,6.4
140083,Y,7.35
140084,N,5.625
140088,N,5.7
140089,Y,8
140091,Y,8.65
140093,N,3.3
140095,N,6.75
140100,N,6.25
140101,N,1
140103,N,5.35
140110,Y,9
140113,N,4.6
140114,N,2.325
140115,N,6.9
140116,N,4.9
140117,N,1.975
140118,N,3.05
140119,Y,8.675
140120,N,3
140122,N,6.975
140124,Y,7.4
140125,N,4.6
140127,Y,8.35
140130,N,5.325
140133,Y,7.7
140135,N,6.9
140137,N,4
140143,N,5
140145,N,3
140147,Y,9
140148,N,5.7
140150,Y,8.7
140155,N,4.575
140158,Y,8.65
140160,Y,9
140161,Y,8
140162,N,4.9
140164,N,4.775
140166,N,4.65
140167,Y,9
140172,Y,8.05
140174,N,3.45
140176,N,6.625
140177,N,2.05
140179,Y,7.6
140180,N,5.7
140181,N,3.925
140182,Y,7.7
140184,N,3.4
140185,N,4.925
140186,N,4.25
140187,N,6.75
140189,Y,8
140191,N,3.05
140197,N,3.1
140200,N,2
140202,N,3.6
140206,N,1.65
140208,N,4.625
140209,N,6.925
140210,N,6
140211,N,4.45
140213,N,6.225
140217,N,5.775
140223,N,4.7
140224,N,6.725
140228,N,4.75
140231,N,6.675
140233,Y,9.35
140234,N,2
140239,N,6.325
140240,N,5.325
140242,N,4.1
140250,N,2.3
140251,N,4.75
140252,N,6.875
140258,N,4.3
140275,N,6
140276,Y,7.05
140280,N,6.275
140281,Y,9.025
140286,N,5.05
140288,N,3.3
140289,Y,8.35
140290,N,4.625
140291,N,2.3
140292,N,4.95
140294,N,4
140300,N,6
140304,N,5.4
150001,N,3
150002,Y,8.625
150003,N,1.35
150004,N,6.4
150005,N,6.975
150006,N,2.65
150007,Y,7.075
150008,N,1
150009,N,2.35
150010,N,3.275
150011,N,3.95
150012,N,1.65
150015,N,2.675
150017,N,6.6
150018,N,3.75
150021,N,4.975
150022,N,3
150023,N,5.725
150024,Y,8.625
150026,N,4.775
150030,N,4.95
150034,N,3
150035,N,4.925
150037,Y,9
150038,N,6
150042,N,2.35
150044,Y,7.05
150045,N,7
150046,N,5.55
150047,N,6.35
150048,N,3.8
150051,N,4.65
150056,Y,9
150057,N,1
150058,N,5.95
150059,N,6.05
150061,N,7
150064,N,3.1
150065,N,2.4
150069,N,6.85
150072,N,5
150074,N,4.3
150075,N,6
150076,Y,9
150082,N,4.35
150084,N,6.6
150086,N,4.725
150088,N,1
150089,N,5.05
150090,Y,7.3
150091,N,4
150097,N,2
150100,N,6.025
150101,N,7
150102,N,4
150104,Y,8
150109,N,5.275
150112,N,4.8
150113,N,2.4
150115,Y,8
150125,N,4.25
150126,Y,7.55
150128,N,2.4
150129,N,4.15
150133,N,2
150146,N,7
150149,Y,8.05
150150,Y,7.65
150153,N,5.55
150154,Y,8.325
150157,N,6.85
150158,N,7
150160,N,1
150161,Y,7.575
150162,N,3.95
150163,N,6
150164,N,5
150165,Y,9
150166,N,4
150167,N,2
150168,N,2
150169,N,6.7
150172,Y,10
150173,N,4.275
150175,N,3
150176,N,4.15
150177,N,3
150179,N,7
150180,Y,8.95
150181,Y,8.95
150182,Y,10
160001,N,4
160005,N,5
160008,N,3
160013,N,3
160016,Y,9
160024,N,3.45
160028,Y,7.375
160029,N,5.025
160030,N,2.75
160032,Y,9
160033,N,2.65
160040,N,7
160045,N,3.3
160047,N,3.1
160057,N,3.8
160058,Y,7.3
160064,N,6.025
160067,N,6.075
160069,Y,7.2
160079,N,3.925
160080,N,5.65
160082,N,6.05
160083,N,6.4
160089,N,3.45
160101,N,2.75
160104,N,5.4
160110,N,2.05
160112,N,2
160117,N,1
160122,N,2
160124,N,3
160146,N,4.925
160147,Y,10
160153,N,4.125
170001,N,7
170006,N,5
170009,N,6
170010,N,7
170012,N,2.75
170013,N,5.05
170014,N,6
170016,N,3.8
170017,N,6
170020,Y,7.675
170023,N,1
170027,Y,10
170039,Y,9
170040,Y,7.4
170049,N,4.025
170058,N,6
170068,Y,9
170074,N,2
170075,N,7
